title,author,publisher,publishing_date,pages,price,language,ISBN_13,complete_link,comments
Microsoft Excel Data Analysis and Business Modeling (Business Skills),Wayne Winston,"Microsoft Press, 5th edition",2016-12-09,864.0,30.51,English,978-1509304219,https://www.amazon.com/Microsoft-Excel-Analysis-Business-Modeling/dp/1509304215/ref=sr_1_214?keywords=data+analysis&qid=1671164678&sr=8-214,NaN
Applied Categorical and Count Data Analysis (Chapman & Hall/CRC Texts in Statistical Science),"Wan Tang, Hua He, et al.","Chapman and Hall/CRC, 2nd edition",2023-04-18,381.0,99.95,English,978-0367568276,https://www.amazon.com/Applied-Categorical-Analysis-Chapman-Statistical/dp/0367568276/ref=sr_1_208?keywords=data+analysis&qid=1671164678&sr=8-208,NaN
"The Data Revolution: A Critical Analysis of Big Data, Open Data and Data Infrastructures",Rob Kitchin,"SAGE Publications Ltd, Second edition",2022-05-31,376.0,42.0,English,NaN,https://www.amazon.com/Data-Revolution-Critical-Analysis-Infrastructures/dp/1529733758/ref=sr_1_206?keywords=data+analysis&qid=1671164678&sr=8-206,NaN
Bioinformatics Data Skills: Reproducible and Robust Research with Open Source Tools,Vince Buffalo,"O'Reilly Media, 1st edition",2015-08-18,536.0,45.99,English,978-1449367374,https://www.amazon.com/Bioinformatics-Data-Skills-Reproducible-Research/dp/1449367372/ref=sr_1_207?keywords=data+analysis&qid=1671164678&sr=8-207,NaN
Big Data Analysis with Python: Combine Spark and Python to unlock the powers of parallel computing and machine learning,"Ivan Marin, Ankit Shukla, et al.","Packt Publishing, 1st edition",2019-04-10,278.0,13.29,English,NaN,https://www.amazon.com/Big-Data-Analysis-Python-computing-ebook/dp/B07KX3W4K5/ref=sr_1_204?keywords=data+analysis&qid=1671164678&sr=8-204,NaN
Be Data Literate: The Data Literacy Skills Everyone Needs To Succeed,Jordan Morrow,"Kogan Page, 1st edition",2021-03-30,240.0,15.99,English,978-1789668018,https://www.amazon.com/Be-Data-Literate-Literacy-Everyone/dp/1789668018/ref=sr_1_205?keywords=data+analysis&qid=1671164678&sr=8-205,NaN
Microsoft Office 365 for Beginners 2023: [10 in 1] The All-in-One Guide to Mastering the Whole Suite from Excel to Access | Take Full Advantage of Their Potential Even as a Non-Tech-Savvy,Jeff Owen,Independently published,2022-10-23,NaN,20.97,English,979-8359747660,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A0719528PFLJV7H2V50L&qualifier=1671164678&id=4917183037504927&widgetName=sp_mtf&url=%2FMicrosoft-Office-Beginners-2023-All%2Fdp%2FB0BJYSWMLH%2Fref%3Dsr_1_212_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164678%26sr%3D8-212-spons%26psc%3D1, for creating superior text  in just a few minutes
Bayesian Artificial Intelligence (Chapman & Hall/CRC Computer Science & Data Analysis Book 2),NaN,"CRC Press, 2nd edition",2010-12-16,491.0,52.17,English,NaN,https://www.amazon.com/Bayesian-Artificial-Intelligence-Computer-Analysis-ebook/dp/B00I60M1EY/ref=sr_1_203?keywords=data+analysis&qid=1671164678&sr=8-203,NaN
Cloud Scale Analytics with Azure Data Services: Build modern data warehouses on Microsoft Azure,Patrik Borosch,Packt Publishing,2021-07-23,520.0,57.99,English,978-1800562936,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A06945471BO28BKEHF3MA&qualifier=1671164678&id=4917183037504927&widgetName=sp_mtf&url=%2FCloud-Scale-Analytics-Azure-Services%2Fdp%2F1800562934%2Fref%3Dsr_1_211_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164678%26sr%3D8-211-spons%26psc%3D1,NaN
"Excel 2023: The Most Updated Bible to Master Microsoft Excel from Zero To Pro in Less than 5 Minutes A Day. Discover All the formulas, Functions & Charts with Step-by-Step Tutorials, Tips & Tricks",Andrew J. Nash,Independently published,2022-10-18,201.0,16.99,English,979-8358890916,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A082114614TMYA5YF6VYF&qualifier=1671164678&id=4917183037504927&widgetName=sp_mtf&url=%2FExcel-2023-Microsoft-Step-Step%2Fdp%2FB0BJN2X7LP%2Fref%3Dsr_1_210_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164678%26sr%3D8-210-spons%26psc%3D1,NaN
"PYTHON: Learn Coding Programs with Python Programming and Master Data Analysis & Analytics, Data Science and Machine Learning with the Complete Crash Course for Beginners - 5 Manuscripts in 1 Book",TechExp Academy,Independently published,2021-12-24,400.0,24.9,English,NaN,https://www.amazon.com/PYTHON-Programming-Analytics-Beginners-Manuscripts/dp/B09NT7WVT5/ref=sr_1_202?keywords=data+analysis&qid=1671164678&sr=8-202,NaN
Data Structures & Algorithm Analysis in C++,Mark Weiss,"Pearson, 4th edition",2013-06-13,664.0,193.32,English,978-0132847377,https://www.amazon.com/Data-Structures-Algorithm-Analysis-C/dp/013284737X/ref=sr_1_201?keywords=data+analysis&qid=1671164678&sr=8-201,NaN
"Introduction to Python in Earth Science Data Analysis: From Descriptive Statistics to Machine Learning (Springer Textbooks in Earth Sciences, Geography and Environment)",NaN,"Springer, 1st ed. 2021 edition",2021-09-17,244.0,48.15,English,978-3030780548,https://www.amazon.com/Introduction-to-Python-in-Earth-Science-Data-AnalysisFrom-Descriptive-Statistics-to-Machine-Learning-Springer-Textbooks-in-Earth-Sciences_-Geography-and-Environment/dp/3030780546/ref=sr_1_175?keywords=data+analysis&qid=1671164670&sr=8-175,NaN
"A Common-Sense Guide to Data Structures and Algorithms, Second Edition: Level Up Your Core Programming Skills",Jay Wengrow,"Pragmatic Bookshelf, 2nd edition",2020-09-15,508.0,39.99,English,978-1680507225,https://www.amazon.com/Common-Sense-Guide-Structures-Algorithms-Second/dp/1680507222/ref=sr_1_176?keywords=data+analysis&qid=1671164670&sr=8-176,NaN
"The Dropout Multi-Millionaire: 37 Business Lessons on How to Succeed in Business With No Money, No Education and No Clue",Brian  WIll,Bookmark Publishing House,2021-04-30,162.0,0.99,English,NaN,https://www.amazon.com/Dropout-Multi-Millionaire-Business-Lessons-Education-ebook/dp/B093Y3BFCF/ref=sr_1_173?keywords=data+analysis&qid=1671164670&sr=8-173,NaN
System Design Interview: The Ultimate Guide to Master All the Fundamentals of System Design & to Get Ready for the Interview | Including More Than 30 Questions & Case Studies to Practice,Liam DeSantis,Independently published,2022-11-30,114.0,23.99,English,979-8366393140,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A0694344Z9KQBTKO82M2&qualifier=1671164678&id=4917183037504927&widgetName=sp_atf_next&url=%2FSystem-Design-Interview-Fundamentals-Including%2Fdp%2FB0BN277LPZ%2Fref%3Dsr_1_196_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164678%26sr%3D8-196-spons%26psc%3D1,NaN
Designing Cloud Data Platforms,Danil Zburivsky and Lynda Partner,Manning,2021-04-20,336.0,65.11,English,978-1617296444,https://www.amazon.com/Designing-Cloud-Platforms-Danil-Zburivsky/dp/1617296449/ref=sr_1_174?keywords=data+analysis&qid=1671164670&sr=8-174,NaN
"Statistics, Data Analysis, and Decision Modeling",James Evans,"Pearson, 5th edition",2012-01-18,552.0,250.63,English,978-0132744287,https://www.amazon.com/Statistics-Data-Analysis-Decision-Modeling/dp/0132744287/ref=sr_1_172?keywords=data+analysis&qid=1671164670&sr=8-172,NaN
Learn Microsoft PowerApps: Build customized business applications without writing any code,Matthew Weston,Packt Publishing,2019-11-29,560.0,39.89,English,978-1789805826,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A01103361KSR3FWA66Q66&qualifier=1671164678&id=4917183037504927&widgetName=sp_atf_next&url=%2FLearn-Microsoft-PowerApps-customized-applications%2Fdp%2F1789805821%2Fref%3Dsr_1_195_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164678%26sr%3D8-195-spons%26psc%3D1,NaN
Excel 2022: The Ultimate all-in-one crash course for beginners to master Everything of Excel 2022. The Step-by-Step Advanced skills workbook on how to create & manipulate Power Excel formulas & Grids,ROBERT  J GREEN,Independently published,2022-02-16,138.0,16.97,English,979-8418330888,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A098844439M3MXS8JX19T&qualifier=1671164678&id=4917183037504927&widgetName=sp_atf_next&url=%2FExcel-2022-all-Step-Step%2Fdp%2FB09SNKVG7R%2Fref%3Dsr_1_194_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164678%26sr%3D8-194-spons%26psc%3D1,NaN
Humanities Data Analysis: Case Studies with Python,"Folgert Karsdorp, Mike Kestemont, et al.",Princeton University Press,2021-01-12,360.0,19.31,English,978-0691172361,https://www.amazon.com/Humanities-Data-Analysis-Studies-Python/dp/0691172366/ref=sr_1_171?keywords=data+analysis&qid=1671164670&sr=8-171,NaN
"Excel 2023: The Easiest Way to Master Microsoft Excel in 7 Days. 200 Clear Illustrations and 100+ Exercises in This Step-by-Step Guide Designed for Absolute Newbie. Discover formula, Charts and More",Leonard Webb,Independently published,2022-10-28,159.0,14.99,English,979-8360854005,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A0783479144XJRNUB263J&qualifier=1671164670&id=7576373399363255&widgetName=sp_mtf&url=%2FExcel-2023-Illustrations-Step-Step%2Fdp%2FB0BKS8QXS4%2Fref%3Dsr_1_177_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164670%26sr%3D8-177-spons%26psc%3D1,NaN
Data Analysis from Scratch Python: 2 Books in 1: Basic Data Analysis and Time Series Analysis in Finance using Python (Financial Data Analytics using Python),NaN,NaN,NaN,333.0,24.99,English,NaN,https://www.amazon.com/Data-Analysis-Scratch-Python-Finance-ebook/dp/B08CCSWT37/ref=sr_1_170?keywords=data+analysis&qid=1671164670&sr=8-170,NaN
Crime Analysis with Crime Mapping,Rachel Boba Santos,"SAGE Publications, Inc, Fifth edition",2022-02-22,504.0,94.84,English,978-1071831403,https://www.amazon.com/Crime-Analysis-Mapping-Rachel-Santos/dp/1071831402/ref=sr_1_169?keywords=data+analysis&qid=1671164670&sr=8-169,NaN
Design and Analysis of Experiments with R (Chapman & Hall/CRC Texts in Statistical Science),NaN,"Chapman and Hall/CRC, 1st edition",2014-12-17,620.0,103.32,English,978-1439868133,https://www.amazon.com/Analysis-Experiments-Chapman-Statistical-Science/dp/1439868131/ref=sr_1_168?keywords=data+analysis&qid=1671164670&sr=8-168,NaN
Geographical Data Science and Spatial Data Analysis: An Introduction in R (Spatial Analytics and GIS),NaN,"SAGE Publications Ltd, 1st edition",2021-02-04,360.0,53.99,English,978-1526449368,https://www.amazon.com/Geographical-Data-Science-Spatial-Analysis/dp/1526449366/ref=sr_1_166?keywords=data+analysis&qid=1671164670&sr=8-166,NaN
Applied Longitudinal Data Analysis: Modeling Change and Event Occurrence,Judith D. Singer and John B. Willett,"Oxford University Press, 1st edition",2003-03-27,644.0,80.11,English,NaN,https://www.amazon.com/Applied-Longitudinal-Data-Analysis-Occurrence/dp/0195152964/ref=sr_1_167?keywords=data+analysis&qid=1671164670&sr=8-167,NaN
Python for Data Analysis: From the Beginner to Expert Crash Course 3.0 that will Change your Life as a Digital Programmer Thanks to the Minimalism of this Manual. Deep Machine Learning and Big Data,Mik Arduino,NaN,NaN,162.0,NaN,English,NaN,https://www.amazon.com/Python-Data-Analysis-Programmer-Minimalism-ebook/dp/B081K251FY/ref=sr_1_160?keywords=data+analysis&qid=1671164670&sr=8-160,NaN
Python and R for the Modern Data Scientist: The Best of Both Worlds,Rick J. Scavetta and Boyan Angelov,"O'Reilly Media, 1st edition",2021-07-13,198.0,39.49,English,978-1492093404,https://www.amazon.com/Python-Modern-Data-Scientist-Worlds/dp/1492093408/ref=sr_1_157?keywords=data+analysis&qid=1671164670&sr=8-157,NaN
The Data Lakehouse Architecture,Bill Inmon and Ranjeet Srivastava,Technics Publications,2022-11-07,162.0,49.95,English,978-1634622783,https://www.amazon.com/Data-Lakehouse-Architecture-Bill-Inmon/dp/1634622782/ref=sr_1_159?keywords=data+analysis&qid=1671164670&sr=8-159,NaN
Econometric Analysis of Panel Data (Springer Texts in Business and Economics),NaN,"Springer, 6th ed. 2021 edition",2021-03-16,444.0,47.85,English,NaN,https://www.amazon.com/Econometric-Analysis-Springer-Business-Economics/dp/3030539520/ref=sr_1_158?keywords=data+analysis&qid=1671164670&sr=8-158,NaN
Artificial Intelligence in Finance: A Python-Based Guide,Yves Hilpisch,"O'Reilly Media, 1st edition",2020-11-03,478.0,45.99,English,NaN,https://www.amazon.com/Artificial-Intelligence-Finance-Python-Based-Guide/dp/1492055433/ref=sr_1_156?keywords=data+analysis&qid=1671164670&sr=8-156,NaN
Graph Data Processing with Cypher: A practical guide to building graph traversal queries using the Cypher syntax on Neo4j,Ravindranatha Anthapu,Packt Publishing,2022-12-16,332.0,44.99,English,NaN,https://www.amazon.com/Graph-Data-Processing-Cypher-practical/dp/1804611077/ref=sr_1_155?keywords=data+analysis&qid=1671164670&sr=8-155,NaN
"Excel: The Complete Illustrative Guide for Beginners to Learning any Fundamental, formula, Function and Chart in Less than 5 Minutes with Simple and Real-Life Examples",Nigel Tillery,Independently published,2022-05-23,119.0,18.86,English,979-8824373264,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A02451963T6HQCDSP6FQN&qualifier=1671164670&id=7576373399363255&widgetName=sp_mtf&url=%2FExcel-Illustrative-Beginners-Fundamental-Real-Life%2Fdp%2FB0B1JZYHHX%2Fref%3Dsr_1_163_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164670%26sr%3D8-163-spons%26psc%3D1,NaN
Topological Data Analysis for Genomics and Evolution: Topology in Biology,Raul Rabadan and Andrew J. Blumberg,"Cambridge University Press, 1st edition",2020-01-16,324.0,44.99,English,978-1107159549,https://www.amazon.com/Topological-Data-Analysis-Genomics-Evolution/dp/1107159547/ref=sr_1_154?keywords=data+analysis&qid=1671164670&sr=8-154,NaN
"Mathletics: How Gamblers, Managers, and Fans Use Mathematics in Sports, Second Edition","Wayne L. Winston, Scott Nestler, et al.","Princeton University Press, 2nd edition",2022-02-22,608.0,18.99,English,NaN,https://www.amazon.com/Mathletics-Gamblers-Managers-Mathematics-Sports/dp/0691177627/ref=sr_1_153?keywords=data+analysis&qid=1671164670&sr=8-153,NaN
Everything Data Analytics-A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights (All Things Data),NaN,Kenneth Michael Fornari,2022-05-24,150.0,14.49,English,978-1777967130,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A043180434JG59ULMA54V&qualifier=1671164670&id=7576373399363255&widgetName=sp_mtf&url=%2FEverything-Analytics-Beginners-Guide-Literacy%2Fdp%2F1777967139%2Fref%3Dsr_1_161_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164670%26sr%3D8-161-spons%26psc%3D1,NaN
Data Analysis for Continuous School Improvement: for Continuous School Improvement,Victoria L. Bernhardt,"Routledge, 4th edition",2017-08-08,426.0,46.06,English,978-1138294622,https://www.amazon.com/Data-Analysis-Continuous-School-Improvement/dp/1138294624/ref=sr_1_152?keywords=data+analysis&qid=1671164670&sr=8-152,NaN
An Introduction to Statistical Methods and Data Analysis,R. Lyman Ott and Micheal T. Longnecker,"Cengage Learning, 7th edition",2015-06-11,1296.0,154.94,English,978-1305269477,https://www.amazon.com/Introduction-Statistical-Methods-Data-Analysis/dp/1305269470/ref=sr_1_151?keywords=data+analysis&qid=1671164670&sr=8-151,NaN
"Python for Finance Cookbook: Over 80 powerful recipes for effective financial data analysis, 2nd Edition",Eryk Lewinson,Packt Publishing - ebooks Account,2023-01-10,754.0,44.99,English,978-1803243191,https://www.amazon.com/Python-Finance-Cookbook-effective-financial/dp/1803243198/ref=sr_1_128?keywords=data+analysis&qid=1671164661&sr=8-128,NaN
Excel formulas (Quick Study Computer),Inc. BarCharts,"QuickStudy, Lam Rfc Cr edition",2013-12-31,6.0,5.95,English,978-1423221692,https://www.amazon.com/Excel-Formulas-Quick-Study-Computer/dp/1423221699/ref=sr_1_127?keywords=data+analysis&qid=1671164661&sr=8-127,NaN
Hands-On Healthcare Data: Taming the Complexity of Real-World Data,Andrew Nguyen,"O'Reilly Media, 1st edition",2022-09-20,242.0,57.28,English,978-1098112929,https://www.amazon.com/Hands-Healthcare-Data-Complexity-Real-World/dp/109811292X/ref=sr_1_125?keywords=data+analysis&qid=1671164661&sr=8-125,NaN
Qualitative Data Analysis with ATLAS.ti,Susanne Friese,"SAGE Publications Ltd, Third edition",2019-04-22,344.0,49.99,English,978-1526458926,https://www.amazon.com/Qualitative-Data-Analysis-with-ATLAS-ti/dp/1526458926/ref=sr_1_126?keywords=data+analysis&qid=1671164661&sr=8-126,NaN
Excel 2023: How to Become a Master of Microsoft Excel in Less Than 7 Minutes a Day with the Most Updated Guide (Step-By-Step Tutorial) + Bonus: The 10 Most Essential formulas Requested by any Company,Ken Shepard,Independently published,2022-10-12,201.0,17.9,English,979-8357759511,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A008379748G54NR9SPP7&qualifier=1671164670&id=7576373399363255&widgetName=sp_atf_next&url=%2FExcel-2023-Microsoft-Step-Step%2Fdp%2FB0BHKLZBD5%2Fref%3Dsr_1_148_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164670%26sr%3D8-148-spons%26psc%3D1,NaN
Excel 2022: The Ultimate Guide for Beginners to Master Excel Functions and formulas in Less than 5 Minutes with the Latest Step-by-Step Tutorials and Practical Examples. Includes Tips and Tricks,Barry Adams,Independently published,2022-10-10,149.0,17.95,English,979-8357294340,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A00842702M5GU5N1JECEK&qualifier=1671164670&id=7576373399363255&widgetName=sp_atf_next&url=%2FExcel-2022-Beginners-Step-Step%2Fdp%2FB0BHLCJG16%2Fref%3Dsr_1_147_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164670%26sr%3D8-147-spons%26psc%3D1,NaN
"Excel: The Most Comprehensive Guide to Learn All formulas and Functions in Just 1 WEEK with Step-by-Step Explanations, Practical Examples, & Picture Demonstrations.",Kevin Cooper,Independently published,2022-12-03,168.0,19.97,English,979-8366746908,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A08933011P9T3DI1112WC&qualifier=1671164670&id=7576373399363255&widgetName=sp_atf_next&url=%2FExcel-Comprehensive-Step-Step-Demonstrations%2Fdp%2FB0BNV6SQ3N%2Fref%3Dsr_1_146_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164670%26sr%3D8-146-spons%26psc%3D1,NaN
Multivariate Data Analysis,NaN,"Cengage Learning EMEA, 8th edition",2018-05-22,NaN,93.63,English,978-1473756540,https://www.amazon.com/Multivariate-Analysis-William-author-Anderson/dp/1473756545/ref=sr_1_124?keywords=data+analysis&qid=1671164661&sr=8-124,NaN
"The Decision Maker's Handbook to Data Science: A Guide for Non-Technical Executives, Managers, and Founders",Stylianos Kampakis,"Apress, 2nd ed. edition",2019-11-27,164.0,18.04,English,978-1484254936,https://www.amazon.com/Decision-Makers-Handbook-Data-Science/dp/1484254937/ref=sr_1_121?keywords=data+analysis&qid=1671164661&sr=8-121,NaN
"The Art of Statistical Thinking: Detect Misinformation, Understand the World Deeper, and Make Better Decisions. (Advanced Thinking Skills Book 3)",NaN,"ARB Publications, 1st edition",2022-10-13,178.0,4.99,English,NaN,https://www.amazon.com/Art-Statistical-Thinking-Misinformation-Understand-ebook/dp/B0BJ7QGMBL/ref=sr_1_120?keywords=data+analysis&qid=1671164661&sr=8-120,NaN
The Analysis of Biological Data,Michael C. Whitlock and Dolph Schluter,"W. H. Freeman, Third edition",2020-01-06,848.0,146.12,English,978-1319226237,https://www.amazon.com/Analysis-Biological-Data-Michael-Whitlock/dp/131922623X/ref=sr_1_123?keywords=data+analysis&qid=1671164661&sr=8-123,NaN
Python for Data Science for Dummies,John Paul Mueller and Luca Massaron,"For Dummies, 2nd edition",2019-02-27,496.0,19.89,English,NaN,https://www.amazon.com/Python-Data-Science-Dummies-Computer/dp/1119547628/ref=sr_1_122?keywords=data+analysis&qid=1671164661&sr=8-122,NaN
Blueprints for Text Analytics using Python: Machine Learning-Based Solutions for Common Real World (NLP) Applications,"Jens Albrecht, Sidharth Ramachandran, et al.","O'Reilly Media, 1st edition",2020-12-29,NaN,48.99,English,NaN,https://www.amazon.com/Blueprints-Text-Analytics-Using-Python/dp/149207408X/ref=sr_1_118?keywords=data+analysis&qid=1671164661&sr=8-118,Extract data from APIs and web 
Data Analysis in Qualitative Research: Theorizing with Abductive Analysis,Stefan Timmermans and Iddo Tavory,"University of Chicago Press, First edition",2022-06-06,208.0,28.1,English,978-0226817736,https://www.amazon.com/Data-Analysis-Qualitative-Research-Theorizing/dp/0226817733/ref=sr_1_117?keywords=data+analysis&qid=1671164661&sr=8-117,NaN
"The Economics of Data, Analytics, and Digital Transformation: The theorems, laws, and empowerments to guide your organization’s digital transformation",Bill Schmarzo and Dr. Kirk Borne,"Packt Publishing, 1st edition",2020-11-30,260.0,17.84,English,NaN,https://www.amazon.com/Economics-Data-Analytics-Digital-Transformation-ebook/dp/B08M3XPCHW/ref=sr_1_111?keywords=data+analysis&qid=1671164661&sr=8-111,NaN
Statistics and Data Analysis Literacy for Nurses,James B. Schreiber PhD and Melanie Turk PhD  MSN  RN,"Springer Publishing Company, 1st edition",2022-11-21,360.0,99.81,English,978-0826165817,https://www.amazon.com/Statistics-Data-Analysis-Literacy-Nurses/dp/0826165818/ref=sr_1_110?keywords=data+analysis&qid=1671164661&sr=8-110,NaN
The Data Governance Guidebook and Playbook: By a Practitioner for Practitioners,Kimberly Wienzierl,"Technics Publications, First edition",2021-10-10,118.0,29.95,English,978-1634629621,https://www.amazon.com/Data-Governance-Guidebook-Playbook-Practitioners/dp/1634629620/ref=sr_1_109?keywords=data+analysis&qid=1671164661&sr=8-109,NaN
Qualitative Data Analysis: Practical Strategies,Pat Bazeley,"SAGE Publications Ltd, Second edition",2020-12-15,584.0,54.08,English,978-1526404763,https://www.amazon.com/Qualitative-Data-Analysis-Practical-Strategies/dp/1526404761/ref=sr_1_112?keywords=data+analysis&qid=1671164661&sr=8-112,NaN
Big Data in Practice: How 45 Successful Companies Used Big Data Analytics to Deliver Extraordinary Results,Bernard Marr,"Wiley, 1st edition",2016-05-02,320.0,35.71,English,978-1119231387,https://www.amazon.com/Big-Data-Practice-Successful-Extraordinary/dp/1119231388/ref=sr_1_108?keywords=data+analysis&qid=1671164661&sr=8-108,NaN
"Learning SQL: The Complete and Comprehensive Introduction to Creating, Managing and Analyzing Databases and Manipulating The Data using SQL for Beginners",Chad Knowles,Independently published,2022-10-23,146.0,14.97,English,979-8359741125,https://www.amazon.com/Learning-SQL-Comprehensive-Introduction-Manipulating/dp/B0BJY35191/ref=sr_1_107?keywords=data+analysis&qid=1671164661&sr=8-107,NaN
"Data Analytics for Absolute Beginners: A Deconstructed Guide to Data Literacy: (Introduction to Data, Data Visualization, Business Intelligence & ... Science, Python & Statistics for Beginners)",NaN,Independently published,2019-07-21,155.0,14.8,NaN,978-1081762469,https://www.amazon.com/Data-Analytics-Absolute-Beginners-Deconstructed/dp/1081762462/ref=sr_1_106?keywords=data+analysis&qid=1671164661&sr=8-106,NaN
Learning R: A Step-by-Step Function Guide to Data Analysis,Richard Cotton,"O'Reilly Media, 1st edition",2013-10-22,396.0,40.99,English,978-1449357108,https://www.amazon.com/Learning-Step-Step-Function-Analysis/dp/1449357105/ref=sr_1_105?keywords=data+analysis&qid=1671164661&sr=8-105,NaN
"An Introduction to Data Analysis: Quantitative, Qualitative and Mixed Methods",Tiffany Bergin,"SAGE Publications Ltd, 1st edition",2018-11-28,296.0,48.25,English,NaN,https://www.amazon.com/Introduction-Data-Analysis-Quantitative-Qualitative/dp/144629515X/ref=sr_1_103?keywords=data+analysis&qid=1671164661&sr=8-103,NaN
Data Mesh: Delivering Data-Driven Value at Scale,Zhamak Dehghani,"O'Reilly Media, 1st edition",2022-04-12,384.0,56.87,English,NaN,https://www.amazon.com/Data-Mesh-Delivering-Data-Driven-Value/dp/1492092398/ref=sr_1_102?keywords=data+analysis&qid=1671164661&sr=8-102,NaN
Quantitative Portfolio Management: The Art and Science of Statistical Arbitrage,Michael Isichenko,"Wiley, 1st edition",2021-08-31,304.0,42.07,English,978-1119821328,https://www.amazon.com/Quantitative-Portfolio-Management-Statistical-Arbitrage/dp/1119821320/ref=sr_1_101?keywords=data+analysis&qid=1671164661&sr=8-101,NaN
Data Governance for Dummies (for Dummies (Computer/tech)),Jonathan Reichental,"For Dummies, 1st edition",2022-12-08,288.0,34.99,English,978-1119906773,https://www.amazon.com/Data-Governance-Dummies-Jonathan-Reichental/dp/1119906776/ref=sr_1_77?keywords=data+analysis&qid=1671164651&sr=8-77,NaN
"The Esri Guide to GIS Analysis, Volume 2: Spatial Measurements and Statistics",NaN,"Esri Press, Second edition",2021-01-05,288.0,32.99,English,978-1589486089,https://www.amazon.com/Esri-Guide-GIS-Analysis-Measurements/dp/1589486080/ref=sr_1_80?keywords=data+analysis&qid=1671164651&sr=8-80,NaN
Regression Analysis: An Intuitive Guide for using and Interpreting Linear Models,Jim Frost,Statistics By Jim Publishing,2020-10-16,355.0,24.99,English,978-1735431185,https://www.amazon.com/Regression-Analysis-Intuitive-Interpreting-Linear/dp/1735431184/ref=sr_1_79?keywords=data+analysis&qid=1671164651&sr=8-79,NaN
Business Analytics: Data Analysis & Decision Making (MindTap Course List),S. Christian Albright and Wayne L. Winston,"Cengage Learning, 7th edition",2019-04-02,984.0,125.49,English,978-0357109953,https://www.amazon.com/Business-Analytics-Analysis-Decision-MindTap/dp/0357109953/ref=sr_1_78?keywords=data+analysis&qid=1671164651&sr=8-78,NaN
"Data Analysis with IBM SPSS Statistics: Implementing Data Modeling, Descriptive Statistics and ANOVA",Kenneth Stehlik-Barry and Anthony J. Babinec,"Packt Publishing, 1st edition",2017-09-22,682.0,37.49,English,NaN,https://www.amazon.com/Data-Analysis-IBM-SPSS-Statistics-ebook/dp/B0728K1C3F/ref=sr_1_75?keywords=data+analysis&qid=1671164651&sr=8-75,NaN
The Kaggle Book: Data analysis and machine learning for competitive data science,"Konrad Banachewicz, Luca Massaron, et al.",Packt Publishing,2022-04-22,534.0,46.99,English,978-1801817479,https://www.amazon.com/Data-Analysis-Machine-Learning-Kaggle/dp/1801817472/ref=sr_1_74?keywords=data+analysis&qid=1671164651&sr=8-74,NaN
"Bayesian Statistics the Fun Way: Understanding Statistics and Probability with Star Wars, LEGO, and Rubber Ducks",Will Kurt,"No Starch Press, Illustrated edition",2019-07-09,256.0,33.49,English,978-1593279561,https://www.amazon.com/Bayesian-Statistics-Fun-Will-Kurt/dp/1593279566/ref=sr_1_76?keywords=data+analysis&qid=1671164651&sr=8-76,NaN
